Nb Mois,linéaire,1er loyer 10%,1er loyer 20%,1er loyer 30%
12 mois,8.9434e-02,8.8667700000000002e-02,7.8812499999999994e-02,7.2080699999999998e-02
24 mois,4.5589999999999999e-02,4.2767299999999994e-02,3.8014300000000001e-02,3.48715e-02
36 mois,3.0846000000000002e-02,2.8673199999999999e-02,2.54916e-02,2.3376999999999998e-02
48 mois,2.3590400000000001e-02,2.1757099999999998e-02,1.9341799999999999e-02,1.77316e-02
60 mois,1.9351499999999997e-02,1.77801e-02,1.5801299999999997e-02,1.4404500000000001e-02
72 mois,1.6780999999999997e-02,1.53648e-02,1.3657600000000001e-02,1.20959e-02
84 mois,1.4938e-02,1.3647899999999999e-02,1.21347e-02,1.0543899999999998e-02
